id,imena,žanri,jeziki,št poglavij
262,A Modern Man Who Transmigrated Into the Murim World,"['Action', 'Drama', 'Fantasy']",EN,35
263,A Monster Wants to Eat Me,"['Drama', 'Seinen', 'Shoujo Ai']",EN,31
264,A Mother In Her 30S Like Me Is Alright?,"['Comedy', 'Romance']",EN,14
265,A Mouthful of My L0li Master’s Milk Makes Me Unparalleled,"['Action', 'Drama', 'Historical']",EN,23
266,A Neat and Pretty Girl at the Transfer Destination Was a Childhood Friend Who Used to Think That She Was a Boy and Played With Her,"['Comedy', 'Romance', 'School']",EN,14
267,A Normally Dowdy Man Is in Essence the Mightiest War-God,"['Action', 'Adventure', 'Fantasy']",EN,6
268,A Poem of The Empire and A Thousand Piles of Snow,"['Drama', 'Fantasy', 'Historical']",EN,43
269,A Queen’s Law of Survival,"['Drama', 'Fantasy', 'Romance']",nedoločen,189
270,A Rabbit Down in a Bite,"['Shoujo', 'Shounen Ai', 'Slice of Life']",EN,116
271,A Returner's Magic Should Be Special,"['Action', 'Fantasy', 'Magic']",EN,219
272,A Rough Lady is Being Deceived,"['Comedy', 'Ecchi', 'School']",EN,32
273,A Royal Princess with Black Hair,"['Comedy', 'Fantasy', 'Romance']",EN,53
274,"A scary boss, but from now on she's going to be happier and happier","['Comedy', 'Drama', 'Romance']",EN,5
275,A School Frozen in Time,"['School', 'Shounen', 'Slice of Life']",EN,17
276,A Scummy Gap Student With a Hard Life Calls Upon a Lady of the Night,"['Comedy', 'Romance']",EN,53
277,A Sea of Conflicts,"['Drama', 'Romance', 'Shounen Ai']",EN,21
278,A Second Time for an Otherworld Summonin,"['Action', 'Adventure', 'Comedy']",EN,41
279,A Sheep in Wolf’s Clothing,"['Comedy', 'Fantasy', 'Historical']",EN,20
280,A Side Character's Love Story,"['Drama', 'Josei', 'Romance']",EN,79
281,A Sign of Affection,"['Romance', 'Shoujo']",EN,35
282,A Silent Voice,"['Drama', 'School', 'Shounen']",EN,62
283,A single aristocrat enjoys a different world ~ The graceful life of a man who never gets married ~,"['Comedy', 'Fantasy', 'Romance']",JA,13
284,A Skeleton Who Was the Brave,"['Action', 'Adventure', 'Comedy']",JA,35
285,A Small Lie,"['Mystery', 'Psychological']",EN,8
286,A Spirit of the Sun,"['Drama', 'Sci-Fi', 'Seinen']",EN,63
287,A Springtime with Ninjas,"['Comedy', 'Martial Arts', 'Romance']",EN,11.5
288,"A Story About a Dragon and the Rising of an Adventurer ~ A Healer Who Was Seen as Useless and Was Kicked Out From an S Rank Party, Goes off to Revive the Strongest Dragon in an Abandoned Area","['Adventure', 'Comedy', 'Fantasy']",EN,14
289,A Story About A Grandpa And Grandma Who Returned Back To Their Youth,"['Comedy', 'Fantasy', 'Romance']",EN,96.2
290,"A Story About a Hero Exterminating a Dragon-Class Beautiful Girl Demon King, Who Has Very Low Self-Esteem, With Love!","['Ecchi', 'Fantasy']",JA,41
291,"A Story About a Man and a Woman and When They Sleep Together, Money Appears Out of Nowhere, Anna Koto ya Sonna Koto wo shite Okane wo Kasegu Danjo","['Comedy', 'Romance', 'Slice of Life']",EN,24
292,A Story About a Very Ordinary Couple,"['Josei', 'Romance', 'Slice of Life']",EN,24
293,A Story About Doing XX to Girls From Different Species,"['Comedy', 'School', 'Supernatural']",EN,42
294,A Story About Smoking at the Back of the Supermarket,"['Comedy', 'Romance']",EN,18
295,"A Story About Wanting to Commit Suicide, but It's Scary so I Find a Yandere Girl to Kill Me, but It Doesn't Work","['Comedy', 'Romance', 'School']",EN,60
296,A story of an unlikely love,"['Romance', 'School', 'Shoujo']",EN,8.5
297,A Story of Taking Home a Lonely Gal from My Class and Turning Her into an Elegant Beauty,"['Comedy', 'Romance', 'Shounen']",EN,6
298,A Story Read on the Day You've Fallen in Love,"['Comedy', 'Drama', 'Romance']",JA,34.5
299,A Strange World,"['Action', 'Adventure', 'Fantasy']",EN,47
300,A Suffocatingly Lonely Death,"['Drama', 'Mystery', 'Psychological']",JA,34
301,A Sugar Daddy in another world,"['Fantasy', 'Harem', 'Romance']",JA,19
302,A Summer Night's Dream,"['Comedy', 'Drama', 'Fantasy']",EN,86
303,A Sweet and Bitter Couple,"['Comedy', 'Drama', 'Romance']",EN,65
304,"A Sword Master Childhood Friend Power Harassed Me Harshly, So I Broke Off Our Relationship And Make A Fresh Start At The Frontier As A Magic Swordsman.","['Action', 'Adventure', 'Fantasy']",EN,19
305,A Tale of the Secret Saint,"['Action', 'Adventure', 'Fantasy']",EN,36
306,A Talented Maid,"['Fantasy', 'Romance']",EN,51
307,A Tender Heart: The Story of How I Became a Duke's Maid,"['Fantasy', 'Romance']",nedoločen,104
308,A Terrified Teacher at Ghoul School,"['Comedy', 'School', 'Supernatural']",EN,67
309,A Thousand and One Night,"['Comedy', 'Fantasy']",JA,11
310,A Town Where You Live,"['Drama', 'Ecchi', 'Romance']",EN,261
311,A Town Where You Live: Specials (Chapter 200),"['Ecchi', 'Romance']",EN,6.2
312,A Trace of You,"['Drama', 'Romance', 'Shounen Ai']",EN,23
313,A transmigration vampire would like to take a nap,"['Adventure', 'Comedy', 'Fantasy']",JA,60
314,A tropical fish yearns for snow,"['School', 'Seinen', 'Shoujo Ai']",EN,33.5
315,A Useless Villain,"['Action', 'Comedy', 'Mystery']",EN,44
316,A User of Green Magic and Fragrance,"['Adventure', 'Fantasy', 'Romance']",EN,15
317,"A Vampire Called ""God""","['Drama', 'Supernatural', 'Vampire']",EN,26.5
318,A Vampire Family Days,"['Comedy', 'Shounen', 'Slice of Life']",JA,4
319,A Very Fairy Apartment,"['Comedy', 'Slice of Life', 'Supernatural']",EN,37.2
320,"A Very Popular Idol Classmate Has Taken a Liking to Me, A Person Who Doesn’t Want to Work for Whole Life","['Comedy', 'Romance', 'School']",EN,5
321,A Veterinarian in Another World,['Fantasy'],EN,66
322,A Villager and a Devil Girl,"['Comedy', 'Demons', 'Fantasy']",EN,34.5
323,A Villain's Dilemma: How to Not Meddle too Much with a Clumsy Holy Knight's Life,"['Action', 'Comedy', 'Fantasy']",EN,10
324,A Villainess for the Tyrant,"['Comedy', 'Drama', 'Fantasy']",EN,104
